b1_b4_b8_b12_b15_id;b1;b4;b8;b12;b15
543;1;6;10;19;23
544;1;6;10;19;24
545;1;6;10;19;25
546;1;6;10;20;23
547;1;6;10;20;24
548;1;6;10;20;25
549;1;6;10;21;24
550;1;6;10;21;25
551;1;6;10;22;25
552;1;6;11;15;18
553;1;6;11;15;19
554;1;6;11;15;20
555;1;6;11;15;21
556;1;6;11;15;22
557;1;6;11;15;23
558;1;6;11;15;24
559;1;6;11;15;25
560;1;6;11;16;19
561;1;6;11;16;20
562;1;6;11;16;21
563;1;6;11;16;22
564;1;6;11;16;23
565;1;6;11;16;24
566;1;6;11;16;25
567;1;6;11;17;20
568;1;6;11;17;21
569;1;6;11;17;22
570;1;6;11;17;23
571;1;6;11;17;24
572;1;6;11;17;25
573;1;6;11;18;21
574;1;6;11;18;22
575;1;6;11;18;23
576;1;6;11;18;24
577;1;6;11;18;25
578;1;6;11;19;22
579;1;6;11;19;23
580;1;6;11;19;24
581;1;6;11;19;25
582;1;6;11;20;23
583;1;6;11;20;24
584;1;6;11;20;25
585;1;6;11;21;24
586;1;6;11;21;25
587;1;6;11;22;25
588;1;6;12;16;19
589;1;6;12;16;20
590;1;6;12;16;21
591;1;6;12;16;22
592;1;6;12;16;23
593;1;6;12;16;24
594;1;6;12;16;25
595;1;6;12;17;20
596;1;6;12;17;21
597;1;6;12;17;22
598;1;6;12;17;23
599;1;6;12;17;24
600;1;6;12;17;25
601;1;6;12;18;21
602;1;6;12;18;22
603;1;6;12;18;23
604;1;6;12;18;24
605;1;6;12;18;25
606;1;6;12;19;22
607;1;6;12;19;23
608;1;6;12;19;24
609;1;6;12;19;25
610;1;6;12;20;23
611;1;6;12;20;24
612;1;6;12;20;25
613;1;6;12;21;24
614;1;6;12;21;25
615;1;6;12;22;25
616;1;6;13;17;20
617;1;6;13;17;21
618;1;6;13;17;22
619;1;6;13;17;23
620;1;6;13;17;24
621;1;6;13;17;25
622;1;6;13;18;21
623;1;6;13;18;22
624;1;6;13;18;23
625;1;6;13;18;24
626;1;6;13;18;25
627;1;6;13;19;22
628;1;6;13;19;23
629;1;6;13;19;24
630;1;6;13;19;25
631;1;6;13;20;23
632;1;6;13;20;24
633;1;6;13;20;25
634;1;6;13;21;24
635;1;6;13;21;25
636;1;6;13;22;25
637;1;6;14;18;21
638;1;6;14;18;22
639;1;6;14;18;23
640;1;6;14;18;24
641;1;6;14;18;25
642;1;6;14;19;22
643;1;6;14;19;23
644;1;6;14;19;24
645;1;6;14;19;25
646;1;6;14;20;23
647;1;6;14;20;24
648;1;6;14;20;25
649;1;6;14;21;24
650;1;6;14;21;25
651;1;6;14;22;25
652;1;6;15;19;22
653;1;6;15;19;23
654;1;6;15;19;24
655;1;6;15;19;25
656;1;6;15;20;23
657;1;6;15;20;24
658;1;6;15;20;25
659;1;6;15;21;24
660;1;6;15;21;25
661;1;6;15;22;25
662;1;6;16;20;23
663;1;6;16;20;24
664;1;6;16;20;25
665;1;6;16;21;24
666;1;6;16;21;25
667;1;6;16;22;25
668;1;6;17;21;24
669;1;6;17;21;25
670;1;6;17;22;25
671;1;6;18;22;25
672;1;7;11;15;18
673;1;7;11;15;19
674;1;7;11;15;20
675;1;7;11;15;21
676;1;7;11;15;22
677;1;7;11;15;23
678;1;7;11;15;24
679;1;7;11;15;25
680;1;7;11;16;19
